created_at,location,polarity,screen_name,subjectivity,word,created_at_hourly,unix_created_at,location_cat,lat,lon,timezone,timezone_offset,clouds,dew_point,dt,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed
2021-07-01T22:04:35.000Z,Dallas,0.0,Ehi_Bosschick,0.0,What in the unilag graduation gown is Prince wearing?,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:04:34.000Z,Dallas,0.0,RogerNorthup,0.0,I'd like to file a protest.,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:04:33.000Z,Dallas,0.0,jay_rebel05,0.0,Do you see the resemblance 🤔,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:03:44.000Z,Dallas,0.13636363636363635,clarencehilljr,0.5,"The Cowboys were fined for live contact violations from a May 27 practice,  “the intensity and tempo of the club’s…",2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:03:33.000Z,Dallas,0.0,giaaanellaa,0.0,Lmaoooo the audacity bro😂,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:03:32.000Z,Dallas,0.0,reidatcheson,0.0,Smh,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:03:20.000Z,Dallas,0.0,DarksideLeader,0.0,🇨🇱🇨🇱🇨🇱,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:03:16.000Z,Dallas,-0.09999999999999998,MikeZiemer,0.85,Lol  is insane.,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:02:53.000Z,Dallas,0.0,D1Dallas,0.0,Just posted a photo @ D1 Training - Dallas,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:02:50.000Z,Dallas,0.3333333333333333,jay_rebel05,0.5,530 can’t cum quick enuff 😰,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:02:07.000Z,Dallas,0.0,f3rnandoza,0.0,lbp ps5 PlayStation,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:01:31.000Z,Dallas,-0.125,Phenomenal_KiKi,0.325,I don’t see them until I’m too deep! I try to look past them and end up regretting “not judging” a mfer,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:01:23.000Z,Dallas,-0.4000000000000001,KMTorralva,0.6,"As we’ve seen, some people make false confessions and defense lawyer Kenneth Weatherspoon seemed to lay the groundw…",2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:01:02.000Z,Dallas,0.0,FriendlyAshley,0.1125,Big same. 💯,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:00:34.000Z,Dallas,1.0,Ehi_Bosschick,0.9,"Honestly, arrant bullshit!!!!",2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:00:29.000Z,Dallas,0.0,jaxky_yy,0.0,no regerts,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:00:06.000Z,Dallas,0.1,mws621,0.4,Epic neckbeard is epic.,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T22:00:03.000Z,Dallas,-0.6,_Andrae,1.0,Said this like I’m desperate or some,2021-07-01T22:00:00.000Z,1625176800,7,44.9193,-123.317,America/Los_Angeles,-25200,90,14.18,1625176800,24.86,50,1013,25.34,16093,350,2.57
2021-07-01T21:59:43.000Z,Dallas,0.0,_Andrae,0.0,What’s holding you back,2021-07-01T21:00:00.000Z,1625173200,7,44.9193,-123.317,America/Los_Angeles,-25200,75,13.75,1625173200,23.27,53,1014,23.9,16093,20,2.57
2021-07-01T21:59:35.000Z,Dallas,0.0,babeeal3,0.0,today,2021-07-01T21:00:00.000Z,1625173200,7,44.9193,-123.317,America/Los_Angeles,-25200,75,13.75,1625173200,23.27,53,1014,23.9,16093,20,2.57
2021-07-01T21:59:28.000Z,Dallas,0.0,chkster21,0.0,🤣🤣🤣,2021-07-01T21:00:00.000Z,1625173200,7,44.9193,-123.317,America/Los_Angeles,-25200,75,13.75,1625173200,23.27,53,1014,23.9,16093,20,2.57
2021-07-01T21:58:57.000Z,Dallas,0.0,_Andrae,0.0,My monthly tweet,2021-07-01T21:00:00.000Z,1625173200,7,44.9193,-123.317,America/Los_Angeles,-25200,75,13.75,1625173200,23.27,53,1014,23.9,16093,20,2.57
2021-07-01T21:58:47.000Z,Dallas,0.0,Joslui2504,0.0,"Cuales paches, si tu eres bella",2021-07-01T21:00:00.000Z,1625173200,7,44.9193,-123.317,America/Los_Angeles,-25200,75,13.75,1625173200,23.27,53,1014,23.9,16093,20,2.57
2021-07-01T21:58:44.000Z,Dallas,0.0,gabbscruz,0.0,all day!,2021-07-01T21:00:00.000Z,1625173200,7,44.9193,-123.317,America/Los_Angeles,-25200,75,13.75,1625173200,23.27,53,1014,23.9,16093,20,2.57
2021-07-01T21:58:00.000Z,Dallas,0.0,TeeeMichelle,0.0,Issa “Lil towel”,2021-07-01T21:00:00.000Z,1625173200,7,44.9193,-123.317,America/Los_Angeles,-25200,75,13.75,1625173200,23.27,53,1014,23.9,16093,20,2.57
2021-07-01T21:57:50.000Z,Dallas,0.0,fit_caudilljosh,0.0,"",2021-07-01T21:00:00.000Z,1625173200,7,44.9193,-123.317,America/Los_Angeles,-25200,75,13.75,1625173200,23.27,53,1014,23.9,16093,20,2.57
2021-07-01T21:57:47.000Z,Dallas,0.0,AmbitionBrown,0.0,Sheesh 🔥🔥🔥🖤🖤🖤,2021-07-01T21:00:00.000Z,1625173200,7,44.9193,-123.317,America/Los_Angeles,-25200,75,13.75,1625173200,23.27,53,1014,23.9,16093,20,2.57
