created_at,location,polarity,screen_name,subjectivity,word,created_at_hourly,unix_created_at,location_cat,lat,lon,timezone,timezone_offset,clouds,dew_point,dt,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed
2021-07-01T22:07:32.000Z,Miami,0.0,RodolfoSaccoman,0.0,Truth!,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:07:29.000Z,Miami,0.2,O7ald0n4n0,0.5,Agora entendi!!!! Hahahaha,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:06:48.000Z,Miami,0.0,mkw_1,0.0,My biggest concern is the lack of reporting on one of the root causes of the Champlain Towers South co…,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:06:42.000Z,Miami,-0.0824175824175824,JulianP0324,0.4945054945054945,"Well, she’s not very smart",2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:06:34.000Z,Miami,0.0,Parkay2910,0.0,Tower Collapse- Gonzalez Family Trust,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:06:26.000Z,Miami,0.012121212121212116,JimAcos71518230,0.19999999999999998,It feels like we live in Russia or Cuba. Put the political party you don't like in jail.,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:05:43.000Z,Miami,0.0,LibertyAndFree4,0.0,Don't forget Republican members of Congress said the exchange showed Trump had no inten…,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:05:23.000Z,Miami,0.2857142857142857,QueLoQueDess,0.5357142857142857,Dios mío my ovaries right now 🥴,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:05:15.000Z,Miami,0.0,Nora_Mermaid,0.0,"Angelina?! And The Weeknd??

Damn",2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:04:53.000Z,Miami,0.0,PromoteHorror,0.0,SEANCE on DVD and Blu-Ray on August 3rd,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:04:50.000Z,Miami,0.8,Yorby_Urda,1.0,La muchacha me tiene happy ❤️,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:04:42.000Z,Miami,0.0,mkw_1,0.2285714285714286,"Business today requires travel. It’s simply irreplaceable. IMHO, business travel will actually surge i…",2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:04:26.000Z,Miami,0.1,JimAcos71518230,0.4,Democraps mob alive and well.,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:04:22.000Z,Miami,0.0,joelwaldmanNEWS,1.0,The only thing cooler than watching the Presidential motorcade is ..... watching your kids watch the Presidential m…,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:04:20.000Z,Miami,0.0,ludwingpaso,0.0,Pero velo ve,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:03:33.000Z,Miami,0.0,jkranites,0.0,From what I gather they have. ALot of redundancies and they're cleaning house,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:03:09.000Z,Miami,0.0,StacksCustoms,0.0,🙏🏿 San Judas Tadeo on a kilo 🦍 TheSCJWay ThrowbackThursday,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:03:05.000Z,Miami,-0.5,roybelly,0.9,Subjective. And wrong,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:02:55.000Z,Miami,0.0,bryancheco_,0.0,LOLLLLLLLLL,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
2021-07-01T22:01:54.000Z,Miami,0.0,LibertyAndFree4,0.0,Don't forget shouting match between furious McCarthy told FASCIST Trump the insurrectio…,2021-07-01T22:00:00.000Z,1625176800,5,25.7617,-80.1918,America/New_York,-14400,75,23.08,1625176800,29.83,74,1016,28.15,16093,110,5.14
