polarity,subjectivity,clouds,dew_point,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.2125,0.595833333,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.268181818,0.427272727,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.7,0.9,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.625,0.5,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.2,0.2,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.5,0.475,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
-0.05,0.4,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.308333333,0.516666667,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
-0.0625,0.035416667,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
-0.291666667,0.541666667,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.357142857,0.535714286,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
-0.25,0.25,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.325,0.747222222,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.2,0.2,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.2,0.4,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0.125,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.2375,0.725,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
-0.1,0.1,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.5,0.5,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.1,0.4,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0.375,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.479761905,0.823809524,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.136363636,0.454545455,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.161022727,0.680909091,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.625,0.6,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.044444444,0.688888889,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.546875,0.55,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.5,1,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.2,0.4,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.2,0.2,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.5,0.5,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.75,0.944444444,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.0625,0.75,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.15,0.55,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.136363636,0.454545455,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0.033333333,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.16,0.54,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.2,0.5,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0,0,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.7,0.6,20,8.66,14.95,59,1016,16.7,10000,120,2.06,,,
0.136363636,0.5,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
1,1,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0.189583333,0.475,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
-0.1,0.1,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0.136363636,0.454545455,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0.125,0.15,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
1,0.9,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0.1,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0.1,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0.1875,0.5625,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0.9,1,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
1,0.75,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
-0.35,0.333333333,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0.8,1,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0.2,0.3,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
-0.02962963,0.644444444,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0.5,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0.375,0.5,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,1,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0,0,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
0.4,0.75,75,9.48,15.32,59,1016,17.58,10000,100,3.09,,,
